index,pcd_file,pose_file,point_count,pose_frame_id,pose_stamp_sec,pose_stamp_nanosec,cloud_frame_id,cloud_stamp_sec,cloud_stamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0,sample_000.pcd,sample_000_pose.json,27162,base_link,1780411295,745541275,base_link,1780411295,802246672,0.6432297990883785,-0.13200393634649477,0.823881109814308,0.0,0.0,0.0,1.0
1,sample_001.pcd,sample_001_pose.json,14680,base_link,1780411297,246356967,base_link,1780411297,318957502,0.5508645166277746,0.0028296872714529964,0.8311825319707954,0.0,0.0,0.0,1.0
2,sample_002.pcd,sample_002_pose.json,24277,base_link,1780411297,750034314,base_link,1780411297,952349114,0.5534167866492861,0.012753142978504217,0.8304739980438995,0.0,0.0,0.0,1.0
3,sample_003.pcd,sample_003_pose.json,23981,base_link,1780411298,247433198,base_link,1780411298,570551119,0.5466424627492326,0.014849358798131873,0.8337774830390017,0.0,0.0,0.0,1.0
4,sample_004.pcd,sample_004_pose.json,8589,base_link,1780411298,747403201,base_link,1780411299,139973421,0.6472226798651111,-0.07575946701151133,0.8271121479092813,0.0,0.0,0.0,1.0
5,sample_005.pcd,sample_005_pose.json,8682,base_link,1780411299,246657076,base_link,1780411299,534122891,0.6431876717484508,-0.07603648343903051,0.8249741007574161,0.0,0.0,0.0,1.0
6,sample_006.pcd,sample_006_pose.json,9727,base_link,1780411299,749991929,base_link,1780411300,127405029,0.6417206087876792,-0.08041213591434893,0.8253699033336392,0.0,0.0,0.0,1.0
7,sample_007.pcd,sample_007_pose.json,18705,base_link,1780411301,403626121,base_link,1780411301,425473155,0.6417944123087663,-0.09226820385831787,0.8273121952783843,0.0,0.0,0.0,1.0
8,sample_008.pcd,sample_008_pose.json,17989,base_link,1780411301,746311721,base_link,1780411302,76339868,0.6417944123087663,-0.09226820385831787,0.8273121952783843,0.0,0.0,0.0,1.0
9,sample_009.pcd,sample_009_pose.json,18174,base_link,1780411302,246023996,base_link,1780411302,495800599,0.6437501348149535,-0.09987467361384243,0.8295213462944282,0.0,0.0,0.0,1.0
10,sample_010.pcd,sample_010_pose.json,17612,base_link,1780411302,746720039,base_link,1780411303,50942818,0.6465659056584705,-0.0914555478463779,0.829426348284271,0.0,0.0,0.0,1.0
11,sample_011.pcd,sample_011_pose.json,17866,base_link,1780411303,670157189,base_link,1780411303,701623182,0.6441189746158725,-0.07817476970492399,0.8277239242727209,0.0,0.0,0.0,1.0
12,sample_012.pcd,sample_012_pose.json,17795,base_link,1780411303,750266480,base_link,1780411304,60588251,0.6441189746158725,-0.07817476970492399,0.8277239242727209,0.0,0.0,0.0,1.0
13,sample_013.pcd,sample_013_pose.json,17818,base_link,1780411304,745566678,base_link,1780411305,125861268,0.6427235967322099,-0.07747120040683114,0.8271817885006478,0.0,0.0,0.0,1.0
14,sample_014.pcd,sample_014_pose.json,17857,base_link,1780411305,845698649,base_link,1780411305,867837638,0.6284556209236903,-0.07932731133099448,0.8209946325040216,0.0,0.0,0.0,1.0
15,sample_015.pcd,sample_015_pose.json,16342,base_link,1780411306,245530069,base_link,1780411306,508048261,0.6284556209236903,-0.07932731133099448,0.8209946325040216,0.0,0.0,0.0,1.0
16,sample_016.pcd,sample_016_pose.json,17821,base_link,1780411308,245496241,base_link,1780411308,487860473,0.6296174574434923,-0.07798380326931172,0.823119518417659,0.0,0.0,0.0,1.0
17,sample_017.pcd,sample_017_pose.json,15078,base_link,1780411308,746539549,base_link,1780411309,174722260,0.6546253937539336,-0.015994366458122744,0.84257209258948,0.0,0.0,0.0,1.0
18,sample_018.pcd,sample_018_pose.json,18584,base_link,1780411309,745530153,base_link,1780411310,222633068,0.6400875977829678,0.013279447316167536,0.8378602200036238,0.0,0.0,0.0,1.0
19,sample_019.pcd,sample_019_pose.json,20523,base_link,1780411310,748015283,base_link,1780411310,830684645,0.6240488444789828,0.05015672124977821,0.8343462544797404,0.0,0.0,0.0,1.0
20,sample_020.pcd,sample_020_pose.json,11469,base_link,1780411312,246035602,base_link,1780411312,599720118,0.6178723860220265,0.04942588784762622,0.8342145279330204,0.0,0.0,0.0,1.0
21,sample_021.pcd,sample_021_pose.json,14687,base_link,1780411313,245678120,base_link,1780411313,753557275,0.5659665208838842,0.05972838528057389,0.8169301479332682,0.0,0.0,0.0,1.0
22,sample_022.pcd,sample_022_pose.json,15761,base_link,1780411313,791639173,base_link,1780411314,116304693,0.5571414238909824,0.06443609303870154,0.8193386670614984,0.0,0.0,0.0,1.0
23,sample_023.pcd,sample_023_pose.json,27335,base_link,1780411315,769715754,base_link,1780411315,781231410,0.5467312878089648,0.032012740376990645,0.8277614223416259,0.0,0.0,0.0,1.0
24,sample_024.pcd,sample_024_pose.json,19999,base_link,1780411316,386482157,base_link,1780411316,404459748,0.542109278855915,0.036244543509405286,0.8280917360023465,0.0,0.0,0.0,1.0
25,sample_025.pcd,sample_025_pose.json,32139,base_link,1780411316,386482157,base_link,1780411316,784564128,0.542109278855915,0.036244543509405286,0.8280917360023465,0.0,0.0,0.0,1.0
26,sample_026.pcd,sample_026_pose.json,29696,base_link,1780411318,745630758,base_link,1780411319,104645860,0.548653942487677,0.029617482557542707,0.8304105767073324,0.0,0.0,0.0,1.0
27,sample_027.pcd,sample_027_pose.json,23378,base_link,1780411319,749967911,base_link,1780411320,14410992,0.5544945825163194,0.0311075137396592,0.8288891523408687,0.0,0.0,0.0,1.0
28,sample_028.pcd,sample_028_pose.json,26113,base_link,1780411320,247971090,base_link,1780411320,551552989,0.5431869200976599,0.09002947577039955,0.839403991893628,0.0,0.0,0.0,1.0
29,sample_029.pcd,sample_029_pose.json,24775,base_link,1780411321,49377714,base_link,1780411321,72770764,0.5518490122787103,0.07932373511640683,0.8400968225873693,0.0,0.0,0.0,1.0
